LR = 0.0001  , 1      , 2      , 3      , 4      , 5      , 6
diode_left   , 0.9048 , 0.7619 ,  DIV   , 0.8095 , 0.7619 , 0.9524
diode_top    , 1.0000 , 1.0000 ,  DIV   , 0.8367 , 1.0000 , 0.8095
diode_right  , 0.5959 , 0.8929 ,  DIV   , 0.8214 , 1.0000 , 0.5000
diode_bot    , 0.8667 , 0.8667 ,  DIV   , 0.9333 , 0.9333 , 0.8667
res_de_hor   , 0.8966 , 0.9310 ,  DIV   , 0.8966 , 0.8966 , 0.8966
res_de_ver   , 0.9366 , 0.9214 ,  DIV   , 0.9375 , 0.8485 , 0.9318
cap_hor      , 0.9185 , 1.0000 ,  DIV   , 1.0000 , 1.0000 , 0.9958
cap_ver      , 0.8787 , 0.8676 ,  DIV   , 0.8750 , 0.9412 , 0.8676
gr_left      , 0.9244 , 1.0000 ,  DIV   , 1.0000 , 1.0000 , 0.8524
gr_top       , 0.8125 , 0.8990 ,  DIV   , 0.9375 , 0.8058 , 0.8750
gr_right     , 0.8750 , 0.8125 ,  DIV   , 0.8750 , 0.8125 , 0.8125
gr_bot       , 1.0000 , 0.9321 ,  DIV   , 0.9444 , 1.0000 , 1.0000
ind_de_hor   , 0.9310 , 1.0000 ,  DIV   , 1.0000 , 1.0000 , 1.0000
ind_de_ver   , 0.9429 , 0.9412 ,  DIV   , 0.9429 , 0.9429 , 0.8857
source_hor   , 0.7714 , 0.9429 ,  DIV   , 0.9429 , 0.9429 , 0.8857
source_ver   , 0.8947 , 0.9649 ,  DIV   , 0.8596 , 0.9474 , 0.8782
current_hor  , 1.0000 , 1.0000 ,  DIV   , 1.0000 , 1.0000 , 1.0000
current_ver  , 1.0000 , 0.9982 ,  DIV   , 0.9130 , 0.9565 , 0.9565
text         , 0.6714 , 0.7703 ,  DIV   , 0.6705 , 0.7138 , 0.7409
arrow_left   , 0.0500 , 0.1000 ,  DIV   , 0.4667 , 0.2000 , 0.2750
arrow_top    , 0.3448 , 0.1379 ,  DIV   , 0.1379 , 0.2069 , 0.5517
arrow_right  , 0.4000 , 0.4800 ,  DIV   , 0.4000 , 0.2400 , 0.4800
arrow_bot    , 0.4227 , 0.4500 ,  DIV   , 0.3800 , 0.4417 , 0.3389
mAP@0.5      , 0.7843 , 0.8118 ,  DIV   , 0.8078 , 0.8083 , 0.7980
