LR = 0.0025  , 1      , 2      , 3      , 4      , 5      , 6
diode_left   , DIV    , 0.9048 , 0.7619 , 0.8095 , 0.9048 , 0.8095
diode_top    , DIV    , 0.8458 , 0.8095 , 0.8367 , 1.0000 , 0.8277
diode_right  , DIV    , 0.6786 , 0.9643 , 0.9286 , 0.7500 , 0.6786
diode_bot    , DIV    , 0.7333 , 0.9333 , 0.8667 , 0.8667 , 0.8667
res_de_hor   , DIV    , 0.8621 , 0.9310 , 0.8966 , 0.8966 , 0.8621
res_de_ver   , DIV    , 0.9759 , 0.9309 , 0.9356 , 0.9884 , 0.9320
cap_hor      , DIV    , 1.0000 , 0.9250 , 0.9333 , 0.9333 , 0.9333
cap_ver      , DIV    , 0.8824 , 0.8787 , 0.9377 , 0.9412 , 0.8824
gr_left      , DIV    , 1.0000 , 1.0000 , 0.8978 , 0.9333 , 0.8889
gr_top       , DIV    , 0.9375 , 0.9375 , 0.9375 , 0.9375 , 0.7500
gr_right     , DIV    , 0.8750 , 0.8750 , 0.8125 , 0.9375 , 0.8750
gr_bot       , DIV    , 0.9444 , 0.9321 , 1.0000 , 1.0000 , 1.0000
ind_de_hor   , DIV    , 1.0000 , 1.0000 , 0.9655 , 1.0000 , 0.8621
ind_de_ver   , DIV    , 0.9429 , 0.9429 , 0.9429 , 0.9412 , 0.9429
source_hor   , DIV    , 0.8286 , 0.8857 , 0.8286 , 0.8857 , 0.9429
source_ver   , DIV    , 0.9649 , 0.8386 , 0.9298 , 0.9298 , 0.9298
current_hor  , DIV    , 1.0000 , 0.8824 , 1.0000 , 0.8824 , 1.0000
current_ver  , DIV    , 1.0000 , 0.9565 , 0.8696 , 0.9565 , 0.9565
text         , DIV    , 0.7567 , 0.8073 , 0.7420 , 0.7321 , 0.7528
arrow_left   , DIV    , 0.2267 , 0.4000 , 0.4000 , 0.1667 , 0.3000
arrow_top    , DIV    , 0.2759 , 0.3316 , 0.3547 , 0.3448 , 0.2759
arrow_right  , DIV    , 0.3200 , 0.3600 , 0.4800 , 0.3200 , 0.4000
arrow_bot    , DIV    , 0.4500 , 0.5500 , 0.4500 , 0.4500 , 0.6500
mAP@0.5      , DIV    , 0.8002 , 0.8189 , 0.8155 , 0.8130 , 0.7965
